Name,Primary Genre,Synopsis,Age Rating,Rating Score,Theatrical Release Year,Director ,Cast,keywords4,,
Bhooter Bhabishyat,Horror Comedy,The experience of a filmmaker in a haunted house meets a film buff who gives him a pot-boiling story of a gang of ghosts. Is it just a story or are these ghosts around? Watch the biggest comedy blockbuster of Bengali cinema "Bhooter Bhabishyat".,U/A 13+,3,2012,Anik Dutta,"Swastika Mukherjee, Paran Bandyopadhyay, Saswata Chatterjee, Parambrata Chattopadhyay, Samadarshi Dutta, Mumtaz Sorcar, Mir, Sumit Samaddar","experience, filmmaker, haunted, house, meets, film, buff, who, gives, pot, boiling, story, gang, ghosts, just, story, ghosts, around, watch, biggest, comedy, blockbuster, bengali, cinema, bhooter, bhabishyat",,
Hanuman.com,Drama,A simple teacher finds an engaging world within his computer. But his virtual friendship leads to chilling experiences. Watch the full movie on hoichoi. ,U/A 16+,4,2013,Gaurav Pandey,"Prosenjit Chatterjee, Mousumi Bhattacharya, Rudranil Ghosh, Kaushik Sen, Saloni Pandey, Saskia, Gaurav Pandey","simple, teacher, finds, engaging, world, within, computer, virtual, friendship, leads, chilling, experiences, watch, full, movie, hoichoi",,
Madly Bangali,Musical Drama,A group of four boys form a Bengali rock band to escape the struggles in their respective lives in this film about musical madness and mad friendships. ,A 18+,5,2009,Anjan Dutt,"Anjan Dutt, Soumyak Kanti DeBiswas, Anubrata Basu, Tanaji Dasgupta, Sumeet Thakur, Roshni Bose, Anasuya Sengupta, Saswata Chatterjee, Siddhartha Chatterjee, Biswajit Chokraborty, Aparajita Adhya, Supriya Choudhury","group, four, boys, form, bengali, rock, band, escape, struggles, respective, lives, film, musical, madness, mad, friendships",,
Byomkesh Gowtro,Detective,"Satyakam, a rich and spoilt womanizer, tells Byomkesh that his life is under threat. The mystery thickens when Satyakam gets murdered just like he had predicted and his family's dark history comes to the fore. ",U/A 16+,4,2018,Arindam Sil,"Abir Chatterjee, Sohini Sarkar, Arjun Chakrabarty","satyakam, rich, spoilt, womanizer, tells, byomkesh, life, threat, mystery, thickens, when, satyakam, gets, murdered, just, predicted, family, s, dark, history, comes, fore",,
Ek Je Chhilo Raja,Drama,"Prince Mahendra Kumar Choudhuri, the heir to the Bhawal Estate, died in Darjeeling, where he went for treatment. Years later, a Sanyasi shows up at Bhawal claiming to be the long-gone prince. Watch the national award-winning movie based on the sensational Bhawal Sanyasi case.",U/A 16+,4,2018,Srijit Mukherji,"Jisshu Sengupta, Jaya Ahsan, Anirban Bhattacharya, Rajnandini Paul","prince, mahendra, kumar, choudhuri, heir, bhawal, estate, died, darjeeling, where, went, treatment, years, later, sanyasi, shows, bhawal, claiming, long, gone, prince, watch, national, award, winning, movie, based, sensational, bhawal, sanyasi, case",,
Manush Amanush,Drama,Sujoy and Bijoy are separated from their family due to ill fate. Will destiny lead them towards an unknown life now? ,U/A 7+,2,2002,CHIRANJIT CHAKRABORTY,"CHIRANJIT CHAKRABORTY, RITUPARNA SENGUPTA, RANJIT MULLICK, JISHU SENGUPTA, SUBHASISH MUKHERJEE, DIPANKAR DEY","sujoy, bijoy, separated, family, due, ill, fate, destiny, lead, towards, unknown, life, now",,
Joyee,Drama,Village girl Apu reaches the city after her marriage. Can she cope up with the culture shock that welcomes her in the city?,U,1,1997,Sachin Adhikari,"Tapas Paul, Rituparna Sengupta, Abhishekh Chatterjee, Sreelekha Mitra, Nayana Das, Sabitri Chatterjee, Dipankar Dey, Subhendu Chatterjee, Shakuntala Barua","village, girl, apu, reaches, city, marriage, cope, culture, shock, welcomes, city",,
Nagin Kanya,Fantasy,"Nagin Kanya is a fantasy tale on love, relations and human emotions that transcend the world of reality as led by the destinty of human fates. ",U/A 7+,2,1995,Swapan Saha,"CHIRANJIT, RITUPARNA SENGUPTA, KUSHIK","nagin, kanya, fantasy, tale, love, relations, human, emotions, transcend, world, reality, led, destinty, human, fates",,
Til Thekey Taal,Drama,"Til Thekey Tal revolves around a businessman Rajesh, a bachelor, whose life takes a different turn completely, the moment he meets Rima. ",A 18+,5,2005,DEBASHISH BHUNIYA,"Tapas Paul, RIMJHIM GUPTA, LILY CHAKRABORTY, SUBHENDU CHATTERJEE","til, thekey, tal, revolves, around, businessman, rajesh, bachelor, whose, life, takes, different, turn, completely, moment, meets, rima",,
Etai Swargo,Drama,"Inspite of the social differences that surround them, Shubho and Bimal are close friends. Will their friendship stand the test of time? ",U/A 7+,2,2001,Salil Dutta,"Abhishek Chatterjee, Satabdi Roy, Anuradha, Soumitra Chatterjee","inspite, social, differences, surround, shubho, bimal, close, friends, friendship, stand, test, time",,
Bibaho Diaries,Comedy,A hilarious yet emotional approach to marital life portrayed through a modern day couple’s perspectives. Watch the full movie on Hoichoi.,U/A 7+,2,2017,Mainak Bhaumik,"Ritwick Chakraborty, Sohini Sarkar","hilarious, yet, emotional, approach, marital, life, portrayed, modern, day, couple, s, perspectives, watch, full, movie, hoichoi",,
Nilacholey Kiriti,Detective ,"While on his honeymoon with his wife, detective Kiriti comes across a murder laced with deceit and an unpredictable climax. Watch the full movie on Hoichoi.",U/A 16+,4,2018,Anindya Bikash Datta,"Indraneil Sengupta, Rituparna Sengupta, Arunima Ghosh","honeymoon, wife, detective, kiriti, comes, across, murder, laced, deceit, unpredictable, climax, watch, full, movie, hoichoi",,
Anupama,Drama,Siblings Abani and Kalyani have been raised with ethics that contradict with their poverty. Can they challenge their ill-fate? Watch the full movie on Hoichoi.,U,1,1955,Agradoot,"Uttam Kumar, Sabitri Chatterjee, Bikash Roy","siblings, abani, kalyani, raised, ethics, contradict, poverty, challenge, ill, fate, watch, full, movie, hoichoi",,
Ek Poshla Bristi,Drama,Rahul comes from a middle class family with principles. Will his moralities earn him name and fame as dreamt by his father? Watch the full movie on Hoichoi.,U/A 7+,2,1990,Nitish Ray,"Prosenjit Chatterjee, Sreela Majumdar, Soumitra Chatterjee, Anup Kumar","rahul, comes, middle, class, family, principles, moralities, earn, name, fame, dreamt, father, watch, full, movie, hoichoi",,
Biswasghatak,Drama,Lives of four youngsters are threatened due to the ill treatments caused by relations close to them. How will they survive? Watch the full movie on Hoichoi.,U/A 13+,3,2003,Sukhen Das,"Tapas Paul, Jisshu Sengupta, Soumitra Chatterjee","lives, four, youngsters, threatened, due, ill, treatments, caused, relations, close, how, survive, watch, full, movie, hoichoi",,
Dolan Chanpa,Drama,"Charan and Chanpa love each other and are eventually married, with little idea of what fate has in store for them. Watch the full movie on Hoichoi.",U/A 13+,3,1987,Sujit Guha,"Rajeshwari Raychowdhury, Ranjit Mullick, Sandhya Roy, Anup Kumar, Aruna Irani, Gita Dey, Prosenjit Chatterjee","charan, chanpa, love, each, other, eventually, married, little, idea, what, fate, store, watch, full, movie, hoichoi",,
Mon Maney Na,Romance,"Shantanu and Shikha love each other, but have their respective family issues as obstacles. Can they overcome them all? Watch the full movie on Hoichoi.",U/A 7+,2,1992,Inder Sen,"Prosenjit Chatterjee, Shilpa, Soumitra Chatterjee","shantanu, shikha, love, each, other, respective, family, issues, obstacles, overcome, all, watch, full, movie, hoichoi",,
Protishodh,Drama,Raja marries Sumita to take revenge on her tyrannical elder brother. Will he succeed in his mission and win over her love? Watch the full movie on Hoichoi.,U/A 7+,2,2004,Anup Sengupta,"Prosenjit Chatterjee, Anamika Saha, Rachna Banerjee, Tapas Paul, Deepankar De, Dulal Lahiri","raja, marries, sumita, take, revenge, tyrannical, elder, brother, succeed, mission, win, love, watch, full, movie, hoichoi",,
Danob,Drama,Manuel’s life is threatened once he joins as a labourer under a rich industrialist. Will he remain under oppression forever? Watch the full movie on Hoichoi.,U/A 7+,2,1997,Sachin Adhikari,"Rachna Banerjee, Victor Banerjee, Tapas Paul, Rituparna Sengupta","manuel, s, life, threatened, once, joins, labourer, rich, industrialist, remain, oppression, forever, watch, full, movie, hoichoi",,
Bouma,Drama,"Surojit's dying father makes him marry Laxmi, a poor girl. But he's already married. Three lives get tangled in a game of destiny. What's in store for them?",U/A 7+,2,1986,Sujit Guha,"Prosenjit Chatterjee, Ranjit Mullick, Satabdi Roy, Sandhya Roy","surojit, s, dying, father, makes, marry, laxmi, poor, girl, s, already, married, three, lives, get, tangled, game, destiny, what, s, store",,
Sukh Dukkher Sansar,Drama,"A family of three brothers faces the threats of time, only to realise the importance of morality during times of crisis. Watch the full movie on Hoichoi.",U/A 7+,2,2001,Swapan Saha,"Tapas Paul, Satabdi Roy, Rituparna Sengupta","family, three, brothers, faces, threats, time, only, realise, importance, morality, during, times, crisis, watch, full, movie, hoichoi",,
Ami Je Ke Tomar (2004),Drama,"Ami Je Ke Tomar revolves around Antara and Akash. Antara loves Akash, who hid a secret about his family. Will she accept him after knowing his reality? ",U/A 13+,3,2004,Prabir Nandi,"Soumitra Chatterjee, Tapas Paul, Debashree Roy","ami, je, ke, tomar, revolves, around, antara, akash, antara, loves, akash, who, hid, secret, family, accept, knowing, reality",,
Baba Loknath,Biography,"Devotional and divine, this biographical saga sheds light on the inspiring and miraculous life of ""Baba Loknath"", an Indian saint, yogi, and mystic who lived in Bengal during the 18th century.",U/A 7+,2,1994,Ardhendu Chatterjee,"Tarun Kumar, Shakuntala Barua, Sulochona Chatterjee","devotional, divine, biographical, saga, sheds, light, inspiring, miraculous, life, baba, loknath, indian, saint, yogi, mystic, who, lived, bengal, during, 18th, century",,
Alo Amar Alo,Drama,"An unusual love story blossoms between a rich industrialist and a poor girl, only to face the threats of destiny. Watch the full movie on Hoichoi.",U/A 7+,2,1971,Pinaki Bhushan Mukherji,"Uttam Kumar, Suchitra Sen, Bikash Roy","unusual, love, story, blossoms, rich, industrialist, poor, girl, only, face, threats, destiny, watch, full, movie, hoichoi",,
Matir Manush,Drama,A romantic drama starring the evergreen pair Prosenjit Chatterjee and Rituparna Sengupta.,U/A 7+,2,1997,Swapan Saha,"Prosenjit Chatterjee, Rituparna Sengupta, Tapas Paul, Abhishek Chatterjee","romantic, drama, starring, evergreen, pair, prosenjit, chatterjee, rituparna, sengupta",,
Krantikaal,Drama,A militant is on the run who finds shelter in a Bengali family. Is an unknown danger waiting for the family now? Watch the full movie on Hoichoi.,U/A 7+,2,2005,Shekhar Das,"Roopa Ganguly, Shilajit Majumdar, Soumitra Chatterjee","militant, run, who, finds, shelter, bengali, family, unknown, danger, waiting, family, now, watch, full, movie, hoichoi",,
Nagordola,Drama,Can a family dealing their share of troubles find ways to start life afresh? Watch the full movie on Hoichoi,A 18+,5,2005,Raj Mukherjee,"Roopa Ganguly, Indrani Haldar, Krishnokishore Mukherjee","family, dealing, share, troubles, find, ways, start, life, afresh, watch, full, movie, hoichoi",,
Sontan,Drama,"Sontan explores the relationship between three sons and their parents, where parents are mistreated by their children until an outsider steps in to mend things. ",U/A 7+,2,1999,Arjun Chowdhury,"Tapas Paul, Ranjit Mallick, Geeta Dey, Chumki Chowdhury","sontan, explores, relationship, three, sons, parents, where, parents, mistreated, children, until, outsider, steps, mend, things",,
Manush Keno Beiman,Drama,This narrative revolves around moralities lost and found amidst twist of fate. Watch the full movie on Hoichoi.,U/A 7+,2,1999,Swapan Saha,"Victor Banerjee, Shubendu Chatterjee, Tota Roy Chowdhury","narrative, revolves, around, moralities, lost, found, amidst, twist, fate, watch, full, movie, hoichoi",,
Generation Aami,Drama,"Cousins Apu and Durga meet after years when Durga is sent to Kolkata from Delhi to for psychological treatment. But the stark difference in their upbringing make it a battle of generations. The eternal question arises, do parents always know what is best for their children?",U/A 13+,3,2018,Mainak Bhaumik,"Sauraseni Maitra, Rwitobroto Mukherjee, Aparajita Adhya, Shantilal Mukherjee","cousins, apu, durga, meet, years, when, durga, sent, kolkata, delhi, psychological, treatment, stark, difference, upbringing, make, battle, generations, eternal, question, arises, parents, always, know, what, best, children",,
Uttarayan,Drama,"""Uttarayan"" is a classic tale of love within the war infested country. Can it triumph amidst the adversities of war?",U,1,1963,Agradoot,"Sabitri Chatterjee, Supriya Choudhury, Uttam Kumar, Asha Devi","uttarayan, classic, tale, love, within, war, infested, country, triumph, amidst, adversities, war",,
Nil Nirjane,Romance,"When an unwed mother and a widower come to a resort to spend a weekend with their respective daughters, complex relationships collide and change lives forever. Watch the only movie starring the mother-daughter duo of Moonmoon Sen-Raima Sen together. ",A 18+,5,2003,Subrata Sen,"Moon Moon Sen, Raima Sen, June Malia, Rajatava Dutta","when, unwed, mother, widower, come, resort, spend, weekend, respective, daughters, complex, relationships, collide, change, lives, forever, watch, only, movie, starring, mother, daughter, duo, moonmoon, sen, raima, sen, together",,
Calcutta 71,Drama,"This is a series of stories from different periods representing the struggles of starvation, prostitution, smuggling, and colonial hangover against Bengal's economic destruction, famine, and unemployment. Watch the second instalment of Mrinal Sen's Calcutta Trilogy only on hoichoi.",U/A 7+,2,1971,Mrinal Sen,"Madhabi Mukherjee, Ranjit Mallick, Utpal Dutta","series, stories, different, periods, representing, struggles, starvation, prostitution, smuggling, colonial, hangover, against, bengal, s, economic, destruction, famine, unemployment, watch, second, instalment, mrinal, sen, s, calcutta, trilogy, only, hoichoi",,
Interview,Drama,"A young man desperately tries to reach a job interview in Calcutta while the city is in the throes of a colonial hangover, middle-class trepidation, anti-establish sentiment and unemployment. Watch the first instalment of Mrinal Sen's Calcutta Trilogy only on hoichoi.",U,1,1971,Mrinal Sen,"Ranjit Mallick, Karuna Banerjee","young, man, desperately, tries, reach, job, interview, calcutta, city, throes, colonial, hangover, middle, class, trepidation, anti, establish, sentiment, unemployment, watch, first, instalment, mrinal, sen, s, calcutta, trilogy, only, hoichoi",,
Baidurya Rahasya,Thriller,"This popular cinematic work of Tapan Sinha narrates the theft of a priceless gem, and the series of crimes that follow it. Watch the full movie on Hoichoi.",U,1,1985,Tapan Sinha,"Basanta Chowdhury, Moon Moon Sen, Manoj Mitra, Dulal Lahiri, Tapas Paul","popular, cinematic, work, tapan, sinha, narrates, theft, priceless, gem, series, crimes, follow, watch, full, movie, hoichoi",,
Uma,Drama,"“Uma” narrates a father-daughter relationship challenged by the latter’s terminal disease, that wins over the hopes once lost. Watch the full movie on Hoichoi.",U/A 13+,3,2018,Srijit Mukherji,"Jisshu Sengupta, Sara Sengupta, Srabanti Chatterjee, Anjan Dutt, Rudranil Ghosh, Anirban Bhattacharya","uma, narrates, father, daughter, relationship, challenged, latter, s, terminal, disease, wins, hopes, once, lost, watch, full, movie, hoichoi",,
Take One,Drama,"Actress Doel Mitra’s name skyrocktes for wrong reasons, putting her in front of the preconceived notions of morality. Watch the full movie on Hoichoi.",A 18+,5,2014,Mainak Bhaumik,Swastika Mukherjee,"actress, doel, mitra, s, name, skyrocktes, wrong, reasons, putting, front, preconceived, notions, morality, watch, full, movie, hoichoi",,
Family Album,Drama,"A family has its members hiding some sort of secrets from each other, till they are revealed after much emotional upheavals. Watch the full movie on Hoichoi.",A 18+,5,2015,Mainak Bhaumik,"Swastika Mukherjee, Paoli Dam","family, members, hiding, some, sort, secrets, each, other, till, revealed, much, emotional, upheavals, watch, full, movie, hoichoi",,
